reactionID	name	string	trehalose	pyruvate	glucose	gene	function	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C	l2fc_32_12	adjP_32_12	l2fc_32_72	adjP_32_72
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD10M11	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase	10-methyl-3-hydroxy-undecanoyl-ACP --> 10-methyl-trans-undec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD10M12	10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	10-methyl-3-hydroxy-dodecanoyl-ACP --> 10-methyl-trans-dodec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD11M12	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	11-methyl-3-hydroxy-dodecanoyl-ACP --> 11-methyl-trans-dodec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD120	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein] --> Water + trans-Dodec-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD12M13	12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase	12-methyl-3-hydroxy-tridecanoyl-ACP --> 12-methyl-trans-tridec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD12M14	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	12-methyl-3-hydroxy-tetra-decanoyl-ACP --> 12-methyl-trans-tetra-dec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD13M14	13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	13-methyl-3-hydroxy-tetra-decanoyl-ACP --> 13-methyl-trans-tetra-dec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] --> Water + trans-Tetradec-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD14M15	14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase	14-methyl-3-hydroxy-pentadecanoyl-ACP --> 14-methyl-trans-pentadec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD14M16	14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase	14-methyl-3-hydroxy-hexa-decanoyl-ACP --> 14-methyl-trans-hexa-dec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD15M16	15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase	15-methyl-3-hydroxy-hexa-decanoyl-ACP --> 15-methyl-trans-hexa-dec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	R-3-hydroxypalmitoyl-[acyl-carrier protein] --> Water + trans-Hexadec-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein] --> Water + trans-octadec-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	(3R)-3-Hydroxyacyl-[acyl-carrier protein] --> But-2-enoyl-[acyl-carrier protein] + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD4M5	4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase	4-methyl-3-hydroxy-pentanoyl-ACP --> 4-methyl-trans-pent-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD4M6	4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase	4-methyl-3-hydroxy-hexanoyl-ACP --> 4-methyl-trans-hex-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD5M6	5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase	5-methyl-3-hydroxy-hexanoyl-ACP --> 5-methyl-trans-hex-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein] --> Water + trans-Hex-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD6M7	6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase	6-methyl-3-hydroxy-heptanoyl-ACP --> 6-methyl-trans-hept-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD6M8	6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	6-methyl-3-hydroxy-octanoyl-ACP --> 6-methyl-trans-oct-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD7M8	7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase	7-methyl-3-hydroxy-octanoyl-ACP --> 7-methyl-trans-oct-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein] --> Water + trans-Oct-2-enoyl-[acyl-carrier protein]	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD8M10	8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	8-methyl-3-hydroxy-decanoyl-ACP --> 8-methyl-trans-dec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD8M9	8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase	8-methyl-3-hydroxy-nonanoyl-ACP --> 8-methyl-trans-non-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3HAD9M10	9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase	9-methyl-3-hydroxy-decanoyl-ACP --> 9-methyl-trans-dec-2-enoyl-ACP + Water	0.0	0.0	0.0
						fig|476272.21.peg.2241	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"	423.043016794343	1386.259392427	920.979299337927	1146.1067255301	402.954895661546	969.549522610553	308.270952216543	366.453236449215	204.45313173232	68.203163	169.902416	133.72212	327.474626	102.684366	253.602853	34.743463	64.444549	44.654321	0.083086415	0.920103339	-1.616343978	0.008964058

3MOBS	3-methyl-2-oxobutanoate synthase	3-Carboxy-3-hydroxy-4-methylpentanoate + Coenzyme A + proton <=> 3-methyl-2-oxobutanoate + Acetyl-CoA + Water	0.883	0.875	0.889
						fig|476272.21.peg.2070	2-isopropylmalate synthase (EC 2.3.3.13)	13919.4529379625	7663.24756801421	9974.5509520011	2396.22213359766	947.734112443186	1368.60009630362	5959.90507618649	5135.65622675929	3628.23176629736	402.699551	166.804487	253.180659	104.538708	36.914459	60.854558	98.235999	138.707745	116.271836	2.719195504	3.16E-08	1.553083187	0.004403883

3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	3-Oxodecanoyl-[acyl-carrier protein] + proton + Nicotinamide adenine dinucleotide phosphate - reduced <=> (R)-3-Hydroxydecanoyl-[acyl-carrier protein] + Nicotinamide adenine dinucleotide phosphate	0.0	0.0	0.0
						fig|476272.21.peg.1770	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	10.5875208179251	11.8074269145888	9.19413768286872	23.7032291565616	28.0769116221171	11.0096768648765	84.9746635244556	350.491082969691	0	0.569659	0.744458	1.040789	2.393977	3.132522	0.477181	5.92544	29.489282	-1.486942608	0.266510098	2.692327841	0.018894464
						fig|476272.21.peg.1771	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	1.41166944239002	0	0.287316802589648	5.13569965058834	4.77904878674333	33.0290305946296	79.6637470541772	522.491336649261	0	0.073049	0	0.031181	0.497295	0.512301	1.37123	5.361901	41.984974	-2.812057259	0.324633953	5.78275182	7.79E-07
						fig|476272.21.peg.1616	"Oxidoreductase, short-chain dehydrogenase/reductase family"	5283.85744296492	2986.38670537608	3910.98309955534	6248.85313952225	7353.13673818467	2711.21411482933	9255.46835107287	8662.1047630242	3491.92967847581	390.729969	166.476634	255.556012	735.081245	771.708527	313.680901	417.215153	629.634432	305.535996	-0.437798058	0.479943548	0.310405158	0.676065205
						fig|476272.21.peg.1347	"Oxidoreductase, short-chain dehydrogenase/reductase family"	27.5897619648485	40.9384138293105	8.17437247933071	57.7506773205192	38.3202204697745	45.1022729248902	58.7182766126748	90.2855799947341	457.585580543763	1.791814	2.003441	0.468426	5.899816	3.494299	4.566424	2.292713	5.70365	34.6944	-0.897635342	0.285749012	1.937636533	0.034515674
						fig|476272.21.peg.2238	"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"	456.485152509311	1088.3971400827	1128.06340214764	1263.33198098668	719.788058720919	833.047941639197	546.813950955534	446.116983503392	613.359395196959	34.106368	61.304506	74.485251	150.294745	76.395482	97.411505	24.934393	32.793528	54.286219	-0.103880933	0.881276703	-0.920413227	0.07945555

3OAR10M11	10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase	10-methyl-3-oxo-undecanoyl-ACP + proton + Nicotinamide adenine dinucleotide phosphate - reduced <=> 10-methyl-3-hydroxy-undecanoyl-ACP + Nicotinamide adenine dinucleotide phosphate	0.0	0.0	0.0
						fig|476272.21.peg.1770	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	10.5875208179251	11.8074269145888	9.19413768286872	23.7032291565616	28.0769116221171	11.0096768648765	84.9746635244556	350.491082969691	0	0.569659	0.744458	1.040789	2.393977	3.132522	0.477181	5.92544	29.489282	-1.486942608	0.266510098	2.692327841	0.018894464
						fig|476272.21.peg.1771	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	1.41166944239002	0	0.287316802589648	5.13569965058834	4.77904878674333	33.0290305946296	79.6637470541772	522.491336649261	0	0.073049	0	0.031181	0.497295	0.512301	1.37123	5.361901	41.984974	-2.812057259	0.324633953	5.78275182	7.79E-07
						fig|476272.21.peg.1616	"Oxidoreductase, short-chain dehydrogenase/reductase family"	5283.85744296492	2986.38670537608	3910.98309955534	6248.85313952225	7353.13673818467	2711.21411482933	9255.46835107287	8662.1047630242	3491.92967847581	390.729969	166.476634	255.556012	735.081245	771.708527	313.680901	417.215153	629.634432	305.535996	-0.437798058	0.479943548	0.310405158	0.676065205
						fig|476272.21.peg.1347	"Oxidoreductase, short-chain dehydrogenase/reductase family"	27.5897619648485	40.9384138293105	8.17437247933071	57.7506773205192	38.3202204697745	45.1022729248902	58.7182766126748	90.2855799947341	457.585580543763	1.791814	2.003441	0.468426	5.899816	3.494299	4.566424	2.292713	5.70365	34.6944	-0.897635342	0.285749012	1.937636533	0.034515674
						fig|476272.21.peg.2238	"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"	456.485152509311	1088.3971400827	1128.06340214764	1263.33198098668	719.788058720919	833.047941639197	546.813950955534	446.116983503392	613.359395196959	34.106368	61.304506	74.485251	150.294745	76.395482	97.411505	24.934393	32.793528	54.286219	-0.103880933	0.881276703	-0.920413227	0.07945555

3OAR10M12	10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	10-methyl-3-oxo-dodecanoyl-ACP + proton + Nicotinamide adenine dinucleotide phosphate - reduced <=> 10-methyl-3-hydroxy-dodecanoyl-ACP + Nicotinamide adenine dinucleotide phosphate	0.0	0.0	0.0
						fig|476272.21.peg.1770	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	10.5875208179251	11.8074269145888	9.19413768286872	23.7032291565616	28.0769116221171	11.0096768648765	84.9746635244556	350.491082969691	0	0.569659	0.744458	1.040789	2.393977	3.132522	0.477181	5.92544	29.489282	-1.486942608	0.266510098	2.692327841	0.018894464
						fig|476272.21.peg.1771	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	1.41166944239002	0	0.287316802589648	5.13569965058834	4.77904878674333	33.0290305946296	79.6637470541772	522.491336649261	0	0.073049	0	0.031181	0.497295	0.512301	1.37123	5.361901	41.984974	-2.812057259	0.324633953	5.78275182	7.79E-07
						fig|476272.21.peg.1616	"Oxidoreductase, short-chain dehydrogenase/reductase family"	5283.85744296492	2986.38670537608	3910.98309955534	6248.85313952225	7353.13673818467	2711.21411482933	9255.46835107287	8662.1047630242	3491.92967847581	390.729969	166.476634	255.556012	735.081245	771.708527	313.680901	417.215153	629.634432	305.535996	-0.437798058	0.479943548	0.310405158	0.676065205
						fig|476272.21.peg.1347	"Oxidoreductase, short-chain dehydrogenase/reductase family"	27.5897619648485	40.9384138293105	8.17437247933071	57.7506773205192	38.3202204697745	45.1022729248902	58.7182766126748	90.2855799947341	457.585580543763	1.791814	2.003441	0.468426	5.899816	3.494299	4.566424	2.292713	5.70365	34.6944	-0.897635342	0.285749012	1.937636533	0.034515674
						fig|476272.21.peg.2238	"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"	456.485152509311	1088.3971400827	1128.06340214764	1263.33198098668	719.788058720919	833.047941639197	546.813950955534	446.116983503392	613.359395196959	34.106368	61.304506	74.485251	150.294745	76.395482	97.411505	24.934393	32.793528	54.286219	-0.103880933	0.881276703	-0.920413227	0.07945555

3OAR11M12	11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	11-methyl-3-oxo-dodecanoyl-ACP + proton + Nicotinamide adenine dinucleotide phosphate - reduced <=> 11-methyl-3-hydroxy-dodecanoyl-ACP + Nicotinamide adenine dinucleotide phosphate	0.0	0.0	0.0
						fig|476272.21.peg.1770	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	10.5875208179251	11.8074269145888	9.19413768286872	23.7032291565616	28.0769116221171	11.0096768648765	84.9746635244556	350.491082969691	0	0.569659	0.744458	1.040789	2.393977	3.132522	0.477181	5.92544	29.489282	-1.486942608	0.266510098	2.692327841	0.018894464
						fig|476272.21.peg.1771	"Oxidoreductase, short-chain dehydrogenase/reductase family"	0	1.41166944239002	0	0.287316802589648	5.13569965058834	4.77904878674333	33.0290305946296	79.6637470541772	522.491336649261	0	0.073049	0	0.031181	0.497295	0.512301	1.37123	5.361901	41.984974	-2.812057259	0.324633953	5.78275182	7.79E-07
						fig|476272.21.peg.1616	"Oxidoreductase, short-chain dehydrogenase/reductase family"	5283.85744296492	2986.38670537608	3910.98309955534	6248.85313952225	7353.13673818467	2711.21411482933	9255.46835107287	8662.1047630242	3491.92967847581	390.729969	166.476634	255.556012	735.081245	771.708527	313.680901	417.215153	629.634432	305.535996	-0.437798058	0.479943548	0.310405158	0.676065205
