genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3034	RUMHYD_00028	29967	30839	-	873		hypothetical protein	PLF_572511_00029160	PGF_06543078
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3035	RUMHYD_00030	31123	31545	+	423		hypothetical protein	PLF_572511_00030545	PGF_06200997
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3036	RUMHYD_00031	31669	32358	-	690		hypothetical protein	PLF_572511_00024608	PGF_12859329
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3037	RUMHYD_00032	32613	32741	+	129		hypothetical protein	PLF_572511_00034048	PGF_06291208
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3038	RUMHYD_00033	32836	33006	+	171		hypothetical protein	PLF_572511_00036383	PGF_06044116
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3039		33003	33116	+	114		hypothetical protein	PLF_572511_00035481	PGF_05031189
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3040	RUMHYD_00034	33106	33396	+	291		hypothetical protein	PLF_572511_00024250	PGF_06295457
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3041	RUMHYD_00035	33640	34929	+	1290	brnQ	Na(+)-dependent branched-chain amino acid transporter	PLF_572511_00033903	PGF_00069345
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3042	RUMHYD_00036	35238	37124	+	1887		ErfK/YbiS/YcfS/YnhG family protein	PLF_572511_00030216	PGF_00833795
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3043	RUMHYD_00037	37196	37819	-	624		5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	PLF_572511_00024219	PGF_00425832
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3044	RUMHYD_00038	38116	38805	+	690	sfsA	Sugar fermentation stimulation protein SfsA	PLF_572511_00001213	PGF_00054920
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3045	RUMHYD_00039	38816	39880	+	1065	mutY	A/G-specific adenine glycosylase (EC 3.2.2.-)	PLF_572511_00014545	PGF_02617708
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3046	RUMHYD_00040	39877	40893	+	1017		Glycosyltransferase	PLF_572511_00000604	PGF_04305571
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3047	RUMHYD_00041	40939	41604	-	666		hypothetical protein	PLF_572511_00006793	PGF_06602796
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3048	RUMHYD_00042	41657	42583	-	927		Transcription regulator [contains diacylglycerol kinase catalytic domain]	PLF_572511_00034483	PGF_02746079
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3049	RUMHYD_00043	42639	43406	-	768		hypothetical protein	PLF_572511_00028835	PGF_05624206
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3050	RUMHYD_00044	43639	45828	+	2190		DNA topoisomerase III (EC 5.99.1.2)	PLF_572511_00000444	PGF_10013075
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3051	RUMHYD_00045	45906	46679	+	774		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	PLF_572511_00000812	PGF_01466819
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3052	RUMHYD_00046	46732	47322	+	591		hypothetical protein	PLF_572511_00009958	PGF_00942439
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3053	RUMHYD_00047	47406	48566	-	1161		Hemolysins and related proteins containing CBS domains	PLF_572511_00025556	PGF_02818638
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3054	RUMHYD_00048	48577	48813	+	237		hypothetical protein	PLF_572511_00029520	PGF_05115615
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3055	RUMHYD_00049	48883	50547	+	1665		hypothetical protein	PLF_572511_00025755	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3056	RUMHYD_00050	50604	50954	+	351		hypothetical protein	PLF_572511_00035053	PGF_06635868
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3057	RUMHYD_00051	51076	51216	+	141		Six-cysteine peptide SCIFF	PLF_572511_00000096	PGF_03253752
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3058	RUMHYD_00052	51426	51557	+	132		hypothetical protein	PLF_572511_00026449	PGF_05802959
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3059	RUMHYD_00053	51616	51747	+	132		hypothetical protein	PLF_572511_00026449	PGF_05802959
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3060	RUMHYD_00054	51753	51917	+	165		hypothetical protein	PLF_572511_00031816	PGF_04740889
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3061	RUMHYD_00055	51942	53306	+	1365		SCIFF radical SAM maturase	PLF_572511_00000095	PGF_00060120
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3062	RUMHYD_00056	53331	55589	+	2259	secD	Protein translocase subunit SecD / Protein translocase subunit SecF	PLF_572511_00000527	PGF_00038653
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3063	RUMHYD_00057	55700	57346	+	1647	recJ	Single-stranded-DNA-specific exonuclease RecJ	PLF_572511_00000859	PGF_07058357
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3064	RUMHYD_00058	57559	58083	+	525	apt	Adenine phosphoribosyltransferase (EC 2.4.2.7)	PLF_572511_00000688	PGF_00034972
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3065	RUMHYD_00059	58104	60413	+	2310		Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	PLF_572511_00060069	PGF_00010349
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3066	RUMHYD_00060	60424	61053	+	630		MBL-fold metallo-hydrolase superfamily	PLF_572511_00031506	PGF_10420457
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3067	RUMHYD_00061	61046	62509	+	1464	hemZ	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ	PLF_572511_00000785	PGF_00013418
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3068	RUMHYD_00062	62523	63071	+	549		Response regulator containing a CheY-like receiver domain and an HD-GYP domain	PLF_572511_00002698	PGF_00047934
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3069	RUMHYD_00063	63118	64377	+	1260		Histidyl-tRNA synthetase (EC 6.1.1.21)	PLF_572511_00000088	PGF_03004613
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3070	RUMHYD_00064	64422	66221	+	1800	aspS	Aspartyl-tRNA synthetase (EC 6.1.1.12)	PLF_572511_00000502	PGF_06589185
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3071	RUMHYD_00065	66290	67495	-	1206		hypothetical protein	PLF_572511_00034627	PGF_05010136
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3072	RUMHYD_00066	67555	67758	+	204		hypothetical protein	PLF_572511_00029369	PGF_06562547
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3073	RUMHYD_00067	67755	69275	+	1521		ABC transporter, RND-adapter-like protein	PLF_572511_00027870	PGF_10662181
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3074	RUMHYD_00068	69281	69961	+	681		ABC-type antimicrobial peptide transport system, ATPase component	PLF_572511_00001753	PGF_10347576
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3075	RUMHYD_00069	69958	71928	+	1971		hypothetical protein	PLF_572511_00031979	PGF_05583392
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3076	RUMHYD_00070	72007	73260	+	1254		ABC-type antimicrobial peptide transport system, permease component	PLF_572511_00001406	PGF_01889881
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3077	RUMHYD_00071	73344	73559	+	216		hypothetical protein	PLF_572511_00029765	PGF_05212201
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3078	RUMHYD_00072	73572	74867	-	1296		hypothetical protein	PLF_572511_00007326	PGF_08249299
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3079	RUMHYD_00073	75214	77514	+	2301		hypothetical protein	PLF_572511_00036107	PGF_04087121
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3080	RUMHYD_00074	77527	77709	+	183		hypothetical protein	PLF_572511_00035459	PGF_04399076
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3081	RUMHYD_00075	77730	78407	-	678		Regulation of D-alanyl-lipoteichoic acid biosynthesis, DltR	PLF_572511_00027309	PGF_07657481
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3082	RUMHYD_00076	78820	80247	+	1428		Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	PLF_572511_00006115	PGF_08794816
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3083	RUMHYD_00077	80722	81501	+	780		N-acetylmannosaminyltransferase (EC 2.4.1.187)	PLF_572511_00036131	PGF_03416607
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3084	RUMHYD_00078	81498	82721	+	1224		UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336)	PLF_572511_00032874	PGF_01036334
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3085	RUMHYD_00079	82995	83213	+	219		Serine acetyltransferase (EC 2.3.1.30)	PLF_572511_00016364	PGF_04695681
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3086	RUMHYD_00080	83167	84264	+	1098		UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	PLF_572511_00005924	PGF_10317148
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3087	RUMHYD_00081	84276	86180	+	1905		hypothetical protein	PLF_572511_00030937	PGF_04521501
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3088	RUMHYD_00082	86241	87659	+	1419		Coenzyme A ligase	PLF_572511_00027887	PGF_10015132
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3089	RUMHYD_00083	87675	88721	+	1047		hypothetical protein	PLF_572511_00030862	PGF_06726447
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3090	RUMHYD_00084	88749	89801	+	1053		hypothetical protein	PLF_572511_00051244	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3091	RUMHYD_00085	89798	90544	+	747		hypothetical protein	PLF_572511_00050833	PGF_10302964
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3092	RUMHYD_00086	90557	91498	+	942		hypothetical protein	PLF_572511_00027642	PGF_06045710
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3093	RUMHYD_00087	91529	92740	+	1212		hypothetical protein	PLF_572511_00035530	PGF_06072009
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3094	RUMHYD_00088	92755	94218	+	1464		hypothetical protein	PLF_572511_00026073	PGF_05878047
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3095	RUMHYD_00089	94657	96081	-	1425		hypothetical protein	PLF_572511_00017408	PGF_08183541
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3096	RUMHYD_00090	96099	97286	-	1188		hypothetical protein	PLF_572511_00017912	PGF_07598704
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3097	RUMHYD_00091	97302	97832	-	531		hypothetical protein	PLF_572511_00050833	PGF_10302964
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3098	RUMHYD_00092	97810	99138	-	1329		hypothetical protein	PLF_572511_00036691	PGF_04592486
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3099	RUMHYD_00093	99131	100273	-	1143		hypothetical protein	PLF_572511_00034890	PGF_05616884
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3100	RUMHYD_00094	100288	101454	-	1167		hypothetical protein	PLF_572511_00032561	PGF_04436112
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3101	RUMHYD_00095	101497	102549	-	1053		hypothetical protein	PLF_572511_00034552	PGF_05280258
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3102	RUMHYD_00096	102627	103499	-	873		Glycosyltransferase	PLF_572511_00033500	PGF_10307847
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3103	RUMHYD_00097	103514	104281	-	768		Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	PLF_572511_00030929	PGF_10551843
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3104	RUMHYD_00098	104302	105558	-	1257		UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	PLF_572511_00000034	PGF_10410292
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3105	RUMHYD_00099	105683	105886	-	204		hypothetical protein	PLF_572511_00030837	PGF_06553462
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3106	RUMHYD_00100	106315	106548	+	234		hypothetical protein	PLF_572511_00036806	PGF_06338390
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3107	RUMHYD_00101	107208	107396	+	189		hypothetical protein	PLF_572511_00030907	PGF_06386499
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3108	RUMHYD_00102	107976	108404	+	429		hypothetical protein	PLF_572511_00030678	PGF_06137044
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3109	RUMHYD_00103	109084	109989	-	906		hypothetical protein	PLF_572511_00015526	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3110	RUMHYD_00104	109993	110451	-	459		hypothetical protein	PLF_572511_00015527	PGF_00393983
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3111	RUMHYD_00105	110716	111963	+	1248		Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)	PLF_572511_00005183	PGF_00046044
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3112	RUMHYD_00106	111977	112825	+	849		hypothetical protein	PLF_572511_00004636	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3113	RUMHYD_00107	112855	113805	+	951		hypothetical protein	PLF_572511_00029579	PGF_08225224
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3114	RUMHYD_00108	113866	115005	+	1140		Glycosyltransferase	PLF_572511_00032943	PGF_04305571
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3115	RUMHYD_00109	115027	116265	+	1239		UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	PLF_572511_00000034	PGF_10410292
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3116	RUMHYD_00110	116295	117137	+	843		hypothetical protein	PLF_572511_00029684	PGF_06179953
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3117	RUMHYD_00111	117187	118515	+	1329		hypothetical protein	PLF_572511_00029948	PGF_06739928
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3118	RUMHYD_00112	118545	119645	+	1101		Polysaccharide pyruvyl transferase	PLF_572511_00059934	PGF_02820500
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3119	RUMHYD_00113	119647	120645	+	999		Glycosyltransferase	PLF_572511_00033500	PGF_10307847
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3120	RUMHYD_00114	120642	121586	+	945		hypothetical protein	PLF_572511_00031928	PGF_06652612
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3121	RUMHYD_00115	121590	121814	+	225		hypothetical protein	PLF_572511_00033522	PGF_06268377
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3122	RUMHYD_00116	121827	123275	+	1449		repeat unit transporter	PLF_572511_00030794	PGF_00411679
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3123	RUMHYD_00117	123440	123988	-	549		hypothetical protein	PLF_572511_00027457	PGF_05296602
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3124	RUMHYD_00118	123967	124536	-	570		hypothetical protein	PLF_572511_00027457	PGF_05296602
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3125	RUMHYD_00119	124555	126009	-	1455		hypothetical protein	PLF_572511_00036115	PGF_05088140
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3126	RUMHYD_00120	126091	127023	-	933		hypothetical protein	PLF_572511_00012422	PGF_07511493
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3127	RUMHYD_00121	127072	128040	-	969		hypothetical protein	PLF_572511_00042591	PGF_07453200
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3128	RUMHYD_00122	128137	128691	-	555		hypothetical protein	PLF_572511_00036073	PGF_05496589
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	gap	fig|476272.21.gap.162		128771	128925	+	155		undefind gap		
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3129	RUMHYD_00123	128947	129507	+	561		hypothetical protein	PLF_572511_00059785	PGF_12839639
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3130	RUMHYD_00124	129607	130506	+	900		Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)	PLF_572511_00035999	PGF_06868199
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3131	RUMHYD_00125	130516	131544	+	1029		Branched-chain amino acid ABC transporter, permease protein LivM (TC 3.A.1.4.1)	PLF_572511_00036441	PGF_03231750
476272.21	Blautia hydrogenotrophica DSM 10507	GG657679	PATRIC	CDS	fig|476272.21.peg.3132	RUMHYD_00126	131541	132314	+	774		Branched-chain amino acid ABC transporter, ATP-binding protein LivG (TC 3.A.1.4.1)	PLF_572511_00000731	PGF_01726878
